date,year,month,week,interest_rate_20y,usury_rate,pinel,covid_impact,seasonality,baseline_leads,spend_tv,spend_google_ads,spend_meta,spend_google_play,spend_apple_search_ads,adstock_tv,adstock_google_ads,adstock_meta,adstock_google_play,adstock_apple_search_ads,saturated_tv,saturated_google_ads,saturated_meta,saturated_google_play,saturated_apple_search_ads,leads,app_downloads
2020-01-06,2020,1,2,1.2083333333333257,2.2924804318141154,1.0,1.0,0.8543587273860922,636825.8514131719,10618.101782710437,113275.00072434708,43175.89095260529,12190.609389379257,6202.083881990964,10618.101782710437,113275.00072434708,43175.89095260529,12190.609389379257,6202.083881990964,0.012179797859987485,0.4568500391727611,0.41227984417365415,0.39114834409304905,0.34873413786709834,850961,282869
2020-01-13,2020,1,3,1.2083333333333257,2.2924804318141154,1.0,1.0,0.8597475635971878,640842.6070197502,7339.91780504304,82032.92642588698,45591.170623948834,12207.805082202462,8686.326600082204,15303.494142075868,87696.67646210434,56385.143362100156,13426.866021140388,9306.5349882813,0.01654432779850147,0.4315808913494981,0.44495233406645995,0.4050341195269186,0.40585939864712917,825237,236251
2020-01-20,2020,1,4,1.2083333333333257,2.2924804318141154,1.0,1.0,0.8671815961520185,646383.8205163892,5308.767414437037,113946.8448256698,44983.967534407595,9486.373774747934,6318.212352431953,16786.388020993938,118331.67864877502,59080.25337493263,10829.060376861973,7248.865851260083,0.017873250178723026,0.46118797457011074,0.4507251276995432,0.37436231294063393,0.3702761540720863,848909,254722
2020-01-27,2020,1,5,1.2083333333333257,2.2924804318141154,1.0,1.0,0.8765524201159516,653368.6885325825,7751.067647801507,90648.47850358381,39445.61576938028,11023.61513049481,6810.531130891189,20340.858663546962,96565.06243602256,54215.67911311344,12106.521168181009,7535.417716017197,0.020976325293431266,0.44105762280576316,0.4401127174452523,0.39015974720730273,0.37571625972074024,839982,290011
2020-02-03,2020,2,6,1.2166666666666741,2.3008137651474634,1.0,1.0,0.8877233877743349,661695.3559641005,14177.793420835693,84882.28512282146,35258.60367363393,10564.532903055842,7552.314928976662,29433.437418495916,89710.53824462258,48812.52345191229,11775.185019873943,8305.85670057838,0.028495863161499213,0.43381017254692766,0.42722155706092896,0.38620546565025227,0.389512283453461,875375,264110
2020-02-10,2020,2,7,1.2166666666666741,2.3008137651474634,1.0,1.0,0.9005316012638808,671242.4012497696,16777.639420895204,86988.5823755426,39256.21989144501,12146.901982034298,5709.02685723999,38852.71748476714,91474.10928777372,51459.35075442308,13324.420484021692,6539.612527297828,0.035809110968313275,0.43572380606618494,0.4336944323157671,0.40392717678958934,0.3559897836604634,851360,270651
2020-02-17,2020,2,8,1.2166666666666741,2.3008137651474634,1.0,1.0,0.9147902879903267,681870.6069712513,14113.172778521575,85968.34432905521,31170.92867373503,14642.198760773332,9845.344148835517,43252.71089209693,90542.04979344389,44035.7663623408,15974.6408091755,10499.3054015653,0.03909438530459655,0.4347168383661957,0.4146710117952617,0.43038370545709287,0.42341894012037956,878418,289553
2020-02-24,2020,2,9,1.2166666666666741,2.3008137651474634,1.0,1.0,0.9302915241934347,693424.989956491,17125.960221746915,90661.48192106797,31758.09805211491,12789.631185585098,7480.686221828206,49565.49339081961,95188.58441074016,42767.03964270011,14387.095266502649,8530.616761984737,0.04368437202929401,0.4396423593498186,0.41112761416089866,0.4150594776551084,0.3933285021247456,878101,241983
2020-03-02,2020,3,10,1.2249999999999999,2.309147098480789,1.0,0.6,0.9468092669436197,423442.23677001585,465864.97052982124,126530.5494100628,38273.74172509241,14365.242814551475,6664.509917200076,503039.09057293594,131289.9786305998,48965.50163576744,15803.95234120174,7517.57159339855,0.24669256214301985,0.47153225213101774,0.42760445037436723,0.428804288380942,0.3753826276990876,623017,188730
2020-03-09,2020,3,11,1.2249999999999999,2.309147098480789,1.0,0.6,0.9641026503568664,431176.3699365247,536127.8969660177,118182.8539620682,49201.53047650074,11826.971955402958,6331.845049864872,913407.2148957197,124747.35289359819,61442.9058854426,13407.367189523133,7083.602209204727,0.35222032568513567,0.46644017030925533,0.4555835171689554,0.40482400871406005,0.3670554789690736,640615,186879
2020-03-16,2020,3,12,1.2249999999999999,2.309147098480789,1.0,0.6,0.9819194979617015,439144.6123961025,576046.0016093926,139268.5434629307,58638.72618519425,14263.79145299354,8190.549904649883,1261101.4127811822,145505.91110761062,73999.4526565549,15604.528171945854,8898.910125570355,0.41699570959728655,0.48179031445232945,0.47872264809986714,0.42693909279103115,0.39939609336352977,662968,170477
